id,date,color
1,5/3/1971,Mauv
2,6/3/2010,Maroon
3,10/16/2017,Khaki
4,5/31/1960,Crimson
5,10/10/1972,Maroon
6,1/17/1960,Crimson
7,11/11/1956,Blue
8,3/15/1954,Indigo
9,7/9/1974,Fuscia
10,4/9/1984,Aquamarine
11,10/8/1977,Violet
12,8/8/1960,Turquoise
13,6/22/1973,Yellow
14,8/13/2013,Crimson
15,5/10/2005,Crimson
16,5/8/1994,Pink
17,8/24/1961,Teal
18,2/25/1964,Purple
19,10/31/2017,Orange
20,10/25/1992,Fuscia
21,3/20/2023,Purple
22,6/19/2022,Orange
23,5/16/2003,Puce
24,4/26/1981,Mauv
25,9/30/1970,Goldenrod
26,12/30/2007,Goldenrod
27,3/27/1955,Blue
28,7/3/1961,Indigo
29,8/10/1962,Red
30,1/15/1992,Pink
31,10/5/2001,Indigo
32,7/27/1957,Crimson
33,12/28/1988,Fuscia
34,3/31/1965,Khaki
35,1/6/1952,Green
36,5/19/2011,Turquoise
37,5/29/2011,Teal
38,6/4/1974,Maroon
39,5/29/2023,Maroon
40,4/23/1994,Yellow
41,3/28/1964,Mauv
42,6/8/1978,Turquoise
43,2/1/2022,Purple
44,12/5/1962,Khaki
45,4/26/1963,Pink
46,2/8/1960,Teal
47,9/5/2004,Puce
48,8/17/1959,Blue
49,6/21/2017,Violet
50,4/21/1996,Indigo
51,4/15/1970,Fuscia
52,11/11/1964,Green
53,7/19/2001,Pink
54,10/3/1998,Crimson
55,12/13/1970,Purple
56,11/29/2013,Puce
57,9/11/2007,Blue
58,6/29/1976,Fuscia
59,3/3/1982,Khaki
60,12/15/1961,Red
61,5/30/2005,Purple
62,9/4/1998,Crimson
63,1/29/2015,Khaki
64,10/11/1971,Khaki
65,3/23/2013,Fuscia
66,12/20/1963,Pink
67,1/28/1973,Teal
68,10/30/2000,Violet
69,9/10/2019,Indigo
70,2/22/1963,Turquoise
71,7/10/2015,Crimson
72,9/2/2017,Khaki
73,9/29/1958,Yellow
74,2/16/1982,Blue
75,6/4/2022,Fuscia
76,9/10/1993,Pink
77,4/15/2005,Indigo
78,8/28/2008,Blue
79,10/26/2020,Fuscia
80,11/6/1990,Purple
81,1/6/2021,Red
82,6/23/2020,Maroon
83,3/22/1984,Red
84,6/8/2000,Mauv
85,2/18/1970,Puce
86,4/6/1985,Turquoise
87,12/12/2000,Violet
88,6/20/1991,Blue
89,9/18/1985,Green
90,12/28/1968,Turquoise
91,1/14/1983,Crimson
92,2/23/1985,Teal
93,1/20/2015,Goldenrod
94,12/14/2013,Yellow
95,2/16/1970,Blue
96,10/6/1989,Fuscia
97,1/18/2019,Pink
98,10/6/2005,Maroon
99,11/1/1989,Pink
100,8/5/1984,Turquoise
101,5/10/2011,Orange
102,8/14/1977,Fuscia
103,7/18/2007,Mauv
104,11/23/1993,Red
105,1/8/1985,Crimson
106,2/20/1956,Indigo
107,10/7/1989,Aquamarine
108,6/16/2009,Maroon
109,12/27/1998,Blue
